Player,PlayerID,Tms,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Terry Dehere,deherte01,LAC,PG,24,82,10,24.6,3.8,8.4,0.459,1.7,3.9,0.44,2.1,4.5,0.476,0.56,3.0,4.0,0.755,0.5,1.2,1.7,4.3,0.7,0.2,2.3,2.9,12.4
Terry Mills,millste01,DET,PF,28,82,5,20.2,3.5,8.2,0.419,1.0,2.5,0.396,2.5,5.7,0.429,0.48,1.5,1.9,0.771,1.3,3.0,4.3,1.2,0.5,0.2,1.2,2.4,9.4
Terry Porter,portete01,MIN,PG,32,82,40,25.3,3.3,7.4,0.442,0.9,2.8,0.314,2.4,4.7,0.518,0.501,2.0,2.5,0.785,0.4,2.1,2.6,5.5,1.1,0.2,2.1,1.9,9.4
Theo Ratliff,ratlith01,DET,C,22,75,2,17.4,1.7,3.1,0.557,0.0,0.0,0.0,1.7,3.1,0.559,0.557,1.1,1.6,0.708,1.5,2.5,4.0,0.2,0.2,1.5,0.7,1.9,4.5
Thomas Hamilton,hamilth01,BOS,C,20,11,0,6.4,0.8,2.8,0.29,0.0,0.0,,0.8,2.8,0.29,0.29,0.6,1.6,0.389,0.9,1.1,2.0,0.1,0.0,0.8,0.8,1.1,2.3
Tim Breaux,breauti01,HOU,SF,25,54,4,10.6,1.1,3.0,0.366,0.3,0.9,0.326,0.8,2.1,0.383,0.413,0.5,0.8,0.622,0.4,0.7,1.1,0.4,0.2,0.1,0.6,0.8,3.0
Tim Hardaway,hardati01,"GSW,MIA",PG,29,80,46,31.7,5.2,12.4,0.422,1.7,4.7,0.364,3.5,7.7,0.458,0.492,3.0,3.8,0.79,0.4,2.4,2.9,8.0,1.7,0.2,2.9,2.5,15.2
Tim Kempton,kemptti01,ATL,PF,32,3,0,3.7,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.7,0.7,0.3,0.0,0.0,0.3,1.7,0.0
Tim Legler,legleti01,WSB,SG,29,77,0,23.1,3.0,6.0,0.507,1.7,3.2,0.522,1.4,2.8,0.488,0.646,1.7,2.0,0.863,0.4,1.4,1.8,1.8,0.6,0.2,0.6,1.8,9.4
Tim Perry,perryti01,"PHI,NJN",PF,30,30,1,8.5,1.0,2.2,0.477,0.1,0.3,0.5,0.9,1.9,0.474,0.508,0.2,0.3,0.556,0.7,0.9,1.6,0.3,0.1,0.4,0.3,0.5,2.4
Todd Day,dayto01,"MIL,BOS",SG,26,79,12,22.9,3.8,10.3,0.366,1.3,3.8,0.331,2.5,6.5,0.386,0.427,2.8,3.6,0.78,0.9,1.9,2.8,1.4,1.0,0.6,1.4,2.8,11.7
Todd Mundt,mundtto01,"ATL,BOS",C,25,33,0,4.6,0.5,1.2,0.39,0.0,0.0,,0.5,1.2,0.39,0.39,0.2,0.2,0.625,0.3,0.5,0.8,0.1,0.1,0.2,0.1,0.9,1.1
