Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
82,Larry Miller\millela01,SG,28,UTS,5,26,11.0,.436,.000,.333,4.2,0.0,2.0,21.4,1.9,0.0,16.2,19.7,,0.0,0.0,0.0,.022,,-3.6,-0.1,-3.7,0.0
83,Gene Moore\moorege01,C,29,SSL,13,108,11.4,.444,.000,.125,13.6,25.5,19.4,5.7,1.7,3.4,26.2,16.1,,-0.1,0.2,0.0,.014,,-3.4,0.0,-3.4,0.0
84,Rick Mount\mountri01,SG,28,MMS,26,895,13.3,.480,.109,.169,1.5,4.4,2.9,13.1,1.5,0.4,8.1,23.5,,0.4,0.2,0.6,.032,,-0.6,-1.6,-2.2,0.0
85,Bob Nash\nashbo01,SF,24,SDA,17,175,8.3,.390,.026,.231,10.9,19.6,15.2,8.7,1.0,0.6,15.7,22.4,,-0.3,0.1,-0.2,-0.046,,-4.8,-1.3,-6.1,-0.2
86,Swen Nater\natersw01,C,25,SAA,78,2713,19.3,.575,.001,.269,13.7,33.1,23.5,4.8,0.7,1.7,15.3,17.4,,5.4,4.4,9.7,.172,,2.3,-0.6,1.7,2.5
87,Bob Netolicky\netolbo01,PF,32,INA,59,1077,12.9,.529,.032,.261,8.3,12.5,10.3,5.8,0.4,0.9,11.6,16.5,,1.6,0.5,2.1,.093,,-0.5,-1.7,-2.2,-0.1
88,Johnny Neumann\neumajo01,SG,23,TOT,52,931,11.5,.465,.175,.169,4.2,5.1,4.6,19.5,1.3,0.6,14.6,22.9,,0.3,0.4,0.6,.031,,-1.4,-1.6,-3.0,-0.3
88,Johnny Neumann\neumajo01,SG,23,VIR,4,96,6.9,.333,.075,.119,8.5,3.3,6.0,21.1,2.0,0.6,10.2,33.0,,-0.4,0.0,-0.3,-0.164,,-3.8,-1.3,-5.1,-0.1
88,Johnny Neumann\neumajo01,SG,23,INA,48,835,12.0,.488,.193,.177,3.7,5.3,4.5,19.3,1.2,0.6,15.4,21.7,,0.6,0.3,0.9,.054,,-1.1,-1.6,-2.7,-0.2
89,Jim O'Brien\obrieji02,SF,23,MMS,47,611,14.0,.499,.128,.296,7.2,13.1,10.1,18.1,3.0,2.0,24.1,20.7,,-0.4,0.7,0.3,.022,,-0.9,1.3,0.3,0.4
90,Jimmy O'Brien\obrieji01,PG,24,SDA,79,2036,10.1,.467,.065,.270,2.3,6.5,4.4,25.9,2.0,0.0,24.6,14.7,,-0.5,0.6,0.2,.004,,-2.6,-1.0,-3.6,-0.8
91,Tom Owens\owensto01,C,25,TOT,82,2647,19.4,.565,.002,.298,11.0,24.2,17.4,11.4,0.7,1.7,12.2,19.6,,5.8,2.5,8.3,.151,,1.7,-0.6,1.2,2.2
91,Tom Owens\owensto01,C,25,SSL,5,89,15.0,.551,.000,.346,12.1,17.2,14.6,10.2,1.0,1.8,16.7,15.3,,0.1,0.1,0.2,.104,,-1.5,-0.1,-1.6,0.1
91,Tom Owens\owensto01,C,25,MMS,77,2558,19.6,.566,.002,.297,11.0,24.5,17.5,11.5,0.6,1.7,12.1,19.8,,5.7,2.4,8.1,.153,,1.8,-0.6,1.3,2.1
92,Wayne Pack\packwa01,PG,24,INA,21,189,7.3,.467,.283,.200,3.4,6.9,5.1,8.2,1.4,0.0,16.6,15.6,,0.0,0.1,0.1,.020,,-3.7,-0.7,-4.4,-0.1
93,Barry Parkhill\parkhba01,SG,23,VIR,78,1870,6.6,.445,.013,.157,1.5,6.1,3.7,17.8,1.3,0.3,20.0,18.4,,-2.3,0.5,-1.8,-0.047,,-4.6,-1.2,-5.8,-1.8
94,Billy Paultz\paultbi01,C,26,NYA,80,2826,16.3,.523,.003,.265,6.4,21.0,13.8,8.3,1.0,2.7,11.0,19.2,,3.6,5.4,9.0,.152,,0.1,0.9,0.9,2.1
95,Aulcie Perry\perryau01,C,24,VIR,21,415,12.2,.454,.005,.161,9.8,16.7,13.2,7.7,1.4,2.1,14.6,22.7,,-0.3,0.4,0.1,.008,,-2.7,-0.6,-3.3,-0.1
96,Cincinnatus Powell\powelci01,SF,32,VIR,60,1224,10.9,.453,.032,.340,6.2,11.5,8.8,11.9,1.0,0.4,13.0,23.1,,-0.4,0.5,0.1,.002,,-1.8,-1.5,-3.4,-0.4
97,Red Robbins\robbire01,C,30,TOT,57,1777,15.9,.533,.015,.289,8.8,15.7,12.2,9.9,0.8,1.0,11.7,18.8,,2.8,1.1,3.9,.105,,1.5,-0.7,0.7,1.3
97,Red Robbins\robbire01,C,30,KEN,4,29,39.8,.635,.000,.286,28.0,10.1,18.9,6.9,3.2,1.9,7.8,34.8,,0.2,0.1,0.3,.420,,-1.4,0.2,-1.2,0.1
97,Red Robbins\robbire01,C,30,VIR,53,1748,15.5,.530,.016,.289,8.5,15.8,12.1,9.9,0.8,0.9,11.9,18.5,,2.6,1.0,3.6,.099,,1.5,-0.7,0.8,1.2
