Player,PlayerID,Tms,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Robert Smith,smithro01,DEN,PG,23,82,,18.0,2.2,5.3,0.422,,,,2.2,5.3,0.422,0.422,1.9,2.2,0.883,0.5,1.3,1.8,2.5,0.7,0.2,1.2,2.0,6.4
Roger Phegley,pheglro01,WSB,SG,22,29,,5.3,1.0,2.7,0.359,,,,1.0,2.7,0.359,0.359,0.8,1.0,0.828,0.2,0.6,0.8,0.5,0.2,0.1,0.6,0.7,2.8
Ron Behagen,behagro01,"DET,NYK,KCK",PF,28,15,,11.0,1.9,4.1,0.452,,,,1.9,4.1,0.452,0.452,0.7,0.9,0.769,0.9,1.9,2.8,0.5,0.3,0.1,0.7,2.4,4.4
Ron Boone,boonero01,LAL,SG,32,82,,19.3,3.2,6.9,0.455,,,,3.2,6.9,0.455,0.455,1.1,1.3,0.865,0.6,1.1,1.8,1.9,0.8,0.1,1.8,2.1,7.4
Ron Brewer,brewero01,POR,SG,23,81,,30.3,5.4,10.8,0.494,,,,5.4,10.8,0.494,0.494,2.6,3.2,0.82,1.1,1.7,2.8,2.0,1.3,1.0,1.9,2.2,13.3
Ron Carter,cartero01,LAL,SG,22,46,,7.2,1.2,2.7,0.435,,,,1.2,2.7,0.435,0.435,0.8,1.2,0.667,0.5,0.5,1.0,0.5,0.4,0.2,0.9,1.2,3.1
Ron Lee,leero01,"PHO,NOJ",PG,26,60,,22.4,3.6,8.5,0.43,,,,3.6,8.5,0.43,0.43,1.6,2.4,0.695,1.1,1.8,2.8,3.4,1.8,0.1,2.8,3.0,8.9
Rudy Tomjanovich,tomjaru01,HOU,PF,30,74,,35.7,8.4,16.2,0.517,,,,8.4,16.2,0.517,0.517,2.3,3.0,0.76,2.3,5.4,7.7,1.9,0.6,0.2,1.9,2.5,19.0
Sam Lacey,laceysa01,KCK,C,30,82,,32.0,4.3,8.5,0.502,,,,4.3,8.5,0.502,0.502,2.0,2.8,0.739,2.2,6.4,8.6,5.2,1.3,1.7,3.0,3.8,10.6
Sam Smith,smithsa02,MIL,SF,24,16,,7.8,1.2,2.9,0.404,,,,1.2,2.9,0.404,0.404,1.1,1.5,0.75,0.0,0.6,0.6,1.0,0.5,0.4,0.5,0.8,3.5
Scott Lloyd,lloydsc01,"SDC,CHI",C,26,72,,6.9,0.6,1.7,0.344,,,,0.6,1.7,0.344,0.344,0.4,0.7,0.574,0.7,0.7,1.3,0.4,0.1,0.1,0.7,1.3,1.5
Scott May,maysc01,CHI,SF,24,37,,10.9,1.6,3.7,0.434,,,,1.6,3.7,0.434,0.434,0.8,1.1,0.75,0.4,1.4,1.7,1.1,0.6,0.0,1.4,1.4,4.0
Scott Wedman,wedmasc01,KCK,SF,26,73,,34.2,7.7,14.4,0.534,,,,7.7,14.4,0.534,0.534,3.0,3.7,0.797,1.8,3.4,5.3,2.0,1.0,0.4,1.5,3.3,18.3
Sidney Wicks,wickssi01,SDC,PF,29,79,,25.6,3.9,8.6,0.462,,,,3.9,8.6,0.462,0.462,1.9,2.9,0.65,2.0,3.1,5.1,1.6,0.9,0.5,2.3,3.5,9.8
Slick Watts,wattssl01,HOU,PG,27,61,,17.1,1.5,3.7,0.405,,,,1.5,3.7,0.405,0.405,0.7,1.1,0.612,0.6,1.1,1.7,4.0,1.2,0.2,1.2,2.3,3.7
Sonny Parker,parkeso01,GSW,SF,23,79,,36.6,6.5,12.9,0.502,,,,6.5,12.9,0.502,0.502,2.2,2.8,0.788,2.1,3.5,5.6,3.7,1.8,0.4,2.4,2.4,15.2
Spencer Haywood,haywosp01,"NYK,NOJ",PF,29,68,,34.7,8.8,17.7,0.494,,,,8.8,17.7,0.494,0.494,3.4,4.3,0.791,2.5,5.3,7.8,1.9,0.6,1.2,2.9,3.5,20.9
Stan Pietkiewicz,pietkst01,SDC,SG,22,4,,8.0,0.3,2.0,0.125,,,,0.3,2.0,0.125,0.125,0.5,0.5,1.0,0.0,1.5,1.5,0.8,0.3,0.0,0.3,1.3,1.0
Steve Green,greenst01,IND,SF,25,39,,6.8,1.1,2.3,0.472,,,,1.1,2.3,0.472,0.472,0.5,0.9,0.588,0.6,0.8,1.3,0.5,0.3,0.1,0.4,1.0,2.7
Steve Hawes,hawesst01,ATL,PF,28,81,,27.2,4.6,9.3,0.492,,,,4.6,9.3,0.492,0.492,1.3,1.6,0.818,2.3,5.0,7.3,2.3,1.0,0.6,1.8,3.3,10.5
Steve Mix,mixst01,PHI,SF,31,74,1.0,17.1,3.6,6.7,0.538,,,,3.6,6.7,0.538,0.538,2.2,2.7,0.801,1.5,2.5,4.0,1.6,0.8,0.2,1.4,1.5,9.3
Steve Sheppard,sheppst01,"CHI,DET",SF,24,42,,6.6,0.9,1.8,0.474,,,,0.9,1.8,0.474,0.474,0.5,0.8,0.588,0.6,0.5,1.1,0.5,0.2,0.0,0.6,0.6,2.2
Swen Nater,natersw01,SDC,C,29,79,,25.4,4.5,7.9,0.569,,,,4.5,7.9,0.569,0.569,1.7,2.1,0.8,2.8,6.1,8.9,1.8,0.5,0.4,2.2,3.1,10.7
T.R. Dunn,dunntr01,POR,SG,23,80,,22.9,3.1,6.9,0.448,,,,3.1,6.9,0.448,0.448,1.5,2.0,0.772,1.8,2.5,4.3,1.3,1.1,0.3,1.2,2.1,7.7
Tate Armstrong,armstta01,CHI,SG,23,26,,10.0,1.1,2.7,0.4,,,,1.1,2.7,0.4,0.4,0.4,0.5,0.769,0.3,0.5,0.8,1.2,0.4,0.0,0.8,0.8,2.5
Ted McClain,mcclate01,PHO,SG,32,36,,12.9,1.7,3.7,0.47,,,,1.7,3.7,0.47,0.47,1.2,1.3,0.913,0.7,1.2,1.9,1.7,0.5,0.0,1.5,1.4,4.6
Terry Furlow,furlote01,"CLE,ATL",SG,24,78,,21.6,5.0,10.3,0.483,,,,5.0,10.3,0.483,0.483,2.1,2.5,0.836,1.0,1.2,2.1,2.4,0.7,0.4,1.7,1.6,12.0
Terry Tyler,tylerte01,DET,PF,22,82,,31.2,5.6,11.5,0.482,,,,5.6,11.5,0.482,0.482,1.8,2.7,0.658,2.6,5.3,7.9,1.1,1.3,2.5,1.7,3.1,12.9
Tim Bassett,basseti01,NJN,PF,27,82,,18.4,1.4,3.8,0.371,,,,1.4,3.8,0.371,0.371,1.1,1.6,0.679,2.1,3.0,5.1,1.2,0.5,0.4,1.3,2.7,3.9
Tiny Archibald,architi01,BOS,PG,30,69,,24.1,3.8,8.3,0.452,,,,3.8,8.3,0.452,0.452,3.5,4.4,0.788,0.4,1.1,1.5,4.7,0.8,0.1,2.9,1.9,11.0
Toby Knight,knighto01,NYK,SF,23,82,,32.5,7.4,14.3,0.519,,,,7.4,14.3,0.519,0.519,1.8,2.5,0.704,2.5,4.2,6.7,1.5,0.7,0.7,2.0,3.8,16.6
Tom Abernethy,abernto01,GSW,PF,24,70,,17.4,2.5,4.9,0.515,,,,2.5,4.9,0.515,0.515,1.0,1.3,0.745,1.1,2.0,3.1,1.1,0.6,0.2,0.5,1.9,6.0
Tom Barker,barketo01,"HOU,BOS,NYK",C,23,39,,12.2,1.7,4.0,0.436,,,,1.7,4.0,0.436,0.436,0.7,0.9,0.73,1.2,1.9,3.1,0.4,0.3,0.3,0.9,1.9,4.2
Tom Boswell,bosweto01,DEN,PF,25,79,,27.9,4.1,7.6,0.532,,,,4.1,7.6,0.532,0.532,2.5,3.6,0.697,3.1,3.7,6.8,3.1,0.6,0.6,2.3,3.3,10.6
Tom Burleson,burleto01,KCK,C,26,56,,16.6,2.8,6.1,0.459,,,,2.8,6.1,0.459,0.459,2.2,3.0,0.716,1.5,3.5,5.0,0.9,0.5,1.0,1.1,3.3,7.8
